Name,Time,Amperage_A,Amperage_B,Amperage_C,Env_temp,Humidity,Upper_oil_temp,H2_concentration,CO_concentration,Built
Ледовый Дворец\Т-2,2016-04-14 13:00:00,13.533011272141707,14.367775988548935,14.842190016103059,22.0,2.09245588079119,41.0,11.984523058704267,26.41645198159663,2013
Ледовый Дворец\Т-2,2016-04-14 14:00:00,13.541867954911433,14.374306673823583,14.848631239935587,22.0,2.0927769081550482,41.0,11.985723486283993,26.402572024673518,2013
Ледовый Дворец\Т-2,2016-04-14 15:00:00,13.55072463768116,14.38083735909823,14.855072463768115,22.0,2.0930979355189065,41.0,11.98692391386372,26.388692067750405,2013
Ледовый Дворец\Т-2,2016-04-14 16:00:00,13.559581320450885,14.387368044372876,14.861513687600644,22.0,2.093418962882765,41.0,11.988124341443447,26.37481211082729,2013
Ледовый Дворец\Т-2,2016-04-14 17:00:00,13.568438003220612,14.393898729647523,14.867954911433172,22.0,2.093739990246623,41.0,11.989324769023172,26.360932153904177,2013
Ледовый Дворец\Т-2,2016-04-14 18:00:00,13.577294685990339,14.400429414922169,14.8743961352657,22.0,2.0940610176104815,41.0,11.9905251966029,26.34705219698106,2013
Ледовый Дворец\Т-2,2016-04-14 19:00:00,13.586151368760063,14.406960100196816,14.880837359098228,22.0,2.0943820449743398,41.0,11.991725624182624,26.333172240057948,2013
Ледовый Дворец\Т-2,2016-04-14 20:00:00,13.59500805152979,14.413490785471463,14.887278582930756,22.0,2.094703072338198,41.0,11.992926051762351,26.319292283134835,2013
Ледовый Дворец\Т-2,2016-04-14 21:00:00,13.603864734299517,14.420021470746109,14.893719806763285,22.0,2.0950240997020564,41.0,11.994126479342079,26.30541232621172,2013
Ледовый Дворец\Т-2,2016-04-14 22:00:00,13.612721417069244,14.426552156020756,14.900161030595813,22.0,2.0953451270659147,41.0,11.995326906921804,26.291532369288607,2013
Ледовый Дворец\Т-2,2016-04-14 23:00:00,13.62157809983897,14.433082841295402,14.906602254428341,22.0,2.095666154429773,41.0,11.99652733450153,26.27765241236549,2013
Ледовый Дворец\Т-2,2016-04-15 00:00:00,13.630434782608695,14.43961352657005,14.91304347826087,22.0,2.0959871817936313,41.0,11.997727762081258,26.26377245544238,2013
Ледовый Дворец\Т-2,2016-04-15 01:00:00,13.639291465378422,14.446144211844695,14.919484702093397,22.0,2.0963082091574896,41.0,11.998928189660983,26.249892498519266,2013
Ледовый Дворец\Т-2,2016-04-15 02:00:00,13.648148148148149,14.452674897119342,14.925925925925926,22.0,2.096629236521348,41.0,12.00012861724071,26.236012541596153,2013
Ледовый Дворец\Т-2,2016-04-15 03:00:00,13.657004830917874,14.459205582393988,14.932367149758454,22.0,2.0969502638852062,41.0,12.001329044820435,26.222132584673037,2013
Ледовый Дворец\Т-2,2016-04-15 04:00:00,13.6658615136876,14.465736267668635,14.938808373590982,22.0,2.0972712912490645,41.0,12.002529472400163,26.208252627749925,2013
Ледовый Дворец\Т-2,2016-04-15 05:00:00,13.674718196457327,14.472266952943283,14.94524959742351,22.0,2.097592318612923,41.0,12.00372989997989,26.19437267082681,2013
Ледовый Дворец\Т-2,2016-04-15 06:00:00,13.683574879227052,14.478797638217928,14.951690821256038,22.0,2.097913345976781,41.0,12.004930327559615,26.180492713903696,2013
Ледовый Дворец\Т-2,2016-04-15 07:00:00,13.692431561996779,14.485328323492576,14.958132045088567,22.0,2.0982343733406394,41.0,12.006130755139342,26.166612756980584,2013
Ледовый Дворец\Т-2,2016-04-15 08:00:00,13.701288244766506,14.491859008767221,14.964573268921095,22.0,2.0985554007044978,41.0,12.007331182719067,26.152732800057468,2013
Ледовый Дворец\Т-2,2016-04-15 09:00:00,13.710144927536232,14.498389694041869,14.971014492753623,22.0,2.098876428068356,41.0,12.008531610298794,26.138852843134355,2013
Ледовый Дворец\Т-2,2016-04-15 10:00:00,13.719001610305959,14.504920379316516,14.977455716586151,22.0,2.0991974554322144,41.0,12.009732037878521,26.12497288621124,2013
Ледовый Дворец\Т-2,2016-04-15 11:00:00,13.727858293075684,14.511451064591162,14.98389694041868,22.0,2.0995184827960727,41.0,12.010932465458247,26.111092929288127,2013
Ледовый Дворец\Т-2,2016-04-15 12:00:00,13.73671497584541,14.51798174986581,14.990338164251208,22.0,2.0998395101599305,41.0,12.012132893037974,26.097212972365014,2013
Ледовый Дворец\Т-2,2016-04-15 13:00:00,13.745571658615138,14.524512435140455,14.996779388083736,22.0,2.100160537523789,41.0,12.0133333206177,26.0833330154419,2013
Ледовый Дворец\Т-2,2016-04-15 14:00:00,13.754428341384862,14.531043120415102,15.003220611916264,22.0,2.100481564887647,41.0,12.014533748197426,26.069453058518786,2013
Ледовый Дворец\Т-2,2016-04-15 15:00:00,13.76328502415459,14.537573805689748,15.009661835748792,22.0,2.1008025922515055,41.0,12.015734175777153,26.055573101595673,2013
